Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uf,Passive_0402_1005Metric,83.693,-84.455,90.0,bottom
C2,100nF,Passive_0402_1005Metric,84.836,-96.266,-90.0,bottom
C3,100nF,Passive_0402_1005Metric,92.202,-91.567,0.0,bottom
C4,100nF,Passive_0402_1005Metric,80.772,-91.567,180.0,bottom
C5,100nF,Passive_0402_1005Metric,80.772,-87.503,180.0,bottom
C6,100nF,Passive_0402_1005Metric,92.202,-87.503,0.0,bottom
C7,100nF,Passive_0402_1005Metric,82.677,-84.455,90.0,bottom
C8,100nF,Passive_0402_1005Metric,86.36,-84.455,90.0,bottom
C9,100nF,Passive_0402_1005Metric,87.376,-84.455,90.0,bottom
C10,100nF,Passive_0402_1005Metric,83.693,-96.266,-90.0,bottom
C11,1uf,Passive_0402_1005Metric,84.709,-84.455,90.0,bottom
CF1,100nF,Passive_0402_1005Metric,84.582,-73.6,0.0,bottom
CP0,1uf,Passive_0402_1005Metric,46.82535,-81.7585,180.0,bottom
CP1,1uf,Passive_0402_1005Metric,46.82535,-86.5207,0.0,bottom
CX1,13pf,Passive_0402_1005Metric,84.836,-98.298,-90.0,bottom
CX2,13pf,Passive_0402_1005Metric,87.249,-100.33,0.0,bottom
D1,1N4148W-T4,D_SOD-523,35.71875,-83.34375,90.0,bottom
D2,1N4148W-T4,D_SOD-523,54.76875,-83.34375,90.0,bottom
D3,1N4148W-T4,D_SOD-523,73.81875,-83.34375,90.0,bottom
D4,1N4148W-T4,D_SOD-523,92.86875,-83.34375,90.0,bottom
D5,1N4148W-T4,D_SOD-523,111.91875,-83.34375,90.0,bottom
D6,1N4148W-T4,D_SOD-523,130.96875,-83.34375,90.0,bottom
D7,1N4148W-T4,D_SOD-523,150.01875,-83.34375,90.0,bottom
D8,1N4148W-T4,D_SOD-523,169.06875,-83.34375,90.0,bottom
D9,1N4148W-T4,D_SOD-523,188.11875,-83.34375,90.0,bottom
D10,1N4148W-T4,D_SOD-523,207.16875,-83.34375,90.0,bottom
D11,1N4148W-T4,D_SOD-523,226.21875,-83.34375,90.0,bottom
D12,1N4148W-T4,D_SOD-523,245.26875,-83.34375,90.0,bottom
D13,1N4148W-T4,D_SOD-523,264.31875,-83.34375,90.0,bottom
D14,1N4148W-T4,D_SOD-523,283.36875,-83.34375,90.0,bottom
D15,1N4148W-T4,D_SOD-523,302.41875,-83.34375,90.0,bottom
D16,1N4148W-T4,D_SOD-523,321.46875,-83.34375,90.0,bottom
D17,1N4148W-T4,D_SOD-523,35.71875,-102.39375,90.0,bottom
D18,1N4148W-T4,D_SOD-523,54.76875,-102.39375,90.0,bottom
D19,1N4148W-T4,D_SOD-523,73.81875,-102.39375,90.0,bottom
D20,1N4148W-T4,D_SOD-523,92.86875,-102.39375,90.0,bottom
D21,1N4148W-T4,D_SOD-523,111.91875,-102.39375,90.0,bottom
D22,1N4148W-T4,D_SOD-523,130.96875,-102.39375,90.0,bottom
D23,1N4148W-T4,D_SOD-523,150.01875,-102.39375,90.0,bottom
D24,1N4148W-T4,D_SOD-523,169.06875,-102.39375,90.0,bottom
D25,1N4148W-T4,D_SOD-523,188.11875,-102.33125,90.0,bottom
D26,1N4148W-T4,D_SOD-523,207.16875,-102.40625,90.0,bottom
D27,1N4148W-T4,D_SOD-523,226.21875,-102.39375,90.0,bottom
D28,1N4148W-T4,D_SOD-523,245.26875,-102.39375,90.0,bottom
D29,1N4148W-T4,D_SOD-523,264.31875,-102.39375,90.0,bottom
D30,1N4148W-T4,D_SOD-523,283.36875,-102.39375,90.0,bottom
D31,1N4148W-T4,D_SOD-523,302.41875,-102.39375,90.0,bottom
D32,1N4148W-T4,D_SOD-523,321.46875,-102.39375,90.0,bottom
D33,1N4148W-T4,D_SOD-523,35.71875,-121.44375,90.0,bottom
D34,1N4148W-T4,D_SOD-523,54.76875,-121.44375,90.0,bottom
D35,1N4148W-T4,D_SOD-523,73.81875,-121.44375,90.0,bottom
D36,1N4148W-T4,D_SOD-523,92.86875,-121.44375,90.0,bottom
D37,1N4148W-T4,D_SOD-523,111.91875,-121.44375,90.0,bottom
D38,1N4148W-T4,D_SOD-523,130.96875,-121.44375,90.0,bottom
D39,1N4148W-T4,D_SOD-523,150.01875,-121.44375,90.0,bottom
D40,1N4148W-T4,D_SOD-523,169.06875,-121.44375,90.0,bottom
D41,1N4148W-T4,D_SOD-523,188.11875,-121.44375,90.0,bottom
D42,1N4148W-T4,D_SOD-523,207.16875,-121.44375,90.0,bottom
D43,1N4148W-T4,D_SOD-523,226.21875,-121.44375,90.0,bottom
D44,1N4148W-T4,D_SOD-523,245.26875,-121.44375,90.0,bottom
D45,1N4148W-T4,D_SOD-523,264.31875,-121.44375,90.0,bottom
D46,1N4148W-T4,D_SOD-523,283.36875,-121.44375,90.0,bottom
D47,1N4148W-T4,D_SOD-523,302.41875,-121.44375,90.0,bottom
D48,1N4148W-T4,D_SOD-523,321.46875,-121.44375,90.0,bottom
D49,1N4148W-T4,D_SOD-523,35.71875,-140.49375,90.0,bottom
D50,1N4148W-T4,D_SOD-523,54.76875,-140.49375,90.0,bottom
D51,1N4148W-T4,D_SOD-523,73.81875,-140.49375,90.0,bottom
D52,1N4148W-T4,D_SOD-523,92.86875,-140.49375,90.0,bottom
D53,1N4148W-T4,D_SOD-523,111.91875,-140.49375,90.0,bottom
D54,1N4148W-T4,D_SOD-523,130.96875,-140.49375,90.0,bottom
D55,1N4148W-T4,D_SOD-523,150.01875,-140.49375,90.0,bottom
D56,1N4148W-T4,D_SOD-523,169.06875,-140.49375,90.0,bottom
D57,1N4148W-T4,D_SOD-523,188.11875,-140.49375,90.0,bottom
D58,1N4148W-T4,D_SOD-523,207.16875,-140.49375,90.0,bottom
D59,1N4148W-T4,D_SOD-523,226.21875,-140.49375,90.0,bottom
D60,1N4148W-T4,D_SOD-523,245.26875,-140.49375,90.0,bottom
D61,1N4148W-T4,D_SOD-523,264.31875,-140.49375,90.0,bottom
D62,1N4148W-T4,D_SOD-523,283.36875,-140.49375,90.0,bottom
D63,1N4148W-T4,D_SOD-523,302.41875,-140.49375,90.0,bottom
